title,location,text,fraudulent,source
Call Centre Agent,"Durban, South Africa","Call centre agents - Durban CBD. Requirements: matric, clear criminal record, fluent in English and at least one other official language, 6 months contact centre experience advantageous. R8500 basic plus performance incentives and full paid training. Apply via PNet or in person at our recruitment open day. The company covers all training costs; no payment is requested from applicants at any stage.",0,synthetic_sa
Life Sciences Teacher,"George, South Africa","High school Life Sciences teacher - George. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 14 September. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Industrial Engineer,"Bloemfontein, South Africa","Industrial Engineer - consulting firm, Bloemfontein. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 5 years experience in process optimisation. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Bloemfontein offices.",0,synthetic_sa
Work from home opportunity,"Midrand, South Africa","Earn R2,000 per day packing groceries at home. No qualifications needed, work your own hours. Perfect for students, moms and pensioners. Join today by sending R500 joining fee via Nedbank and WhatsApp your full names, ID number and address to our agent on 083 472 8066. Payment is released every Friday, guaranteed. First 14 applicants only.",1,synthetic_sa
Graduate Programme,"Sandton, South Africa",Graduate Programme 2027 - national insurer. Honours degree in Computer Science or related field with strong academic record. Structured 18-month rotation programme with mentorship and permanent placement on successful completion. Applications via our official graduate portal only. No fees are charged at any stage of the recruitment process. Applications close 17 September.,0,synthetic_sa
Accountant,"Durban, South Africa","Senior Accountant - Durban. Established audit firm seeks a qualified accountant. Requirements: BCom Accounting, completed SAIPA or SAICA articles preferred, strong Excel and Sage skills, valid driver's licence. Salary R32,000 - R55,000 CTC with study support. Apply through PNet with your CV and academic transcript. Closing date 13 October. Correspondence will be limited to shortlisted candidates.",0,synthetic_sa
Drivers wanted - company vehicles,"Soweto, South Africa","Drivers with code 8 or 10 needed in Soweto. Salary R45,000 plus overtime, company vehicle to take home. To book your assessment slot pay R350 via TymeBank and WhatsApp your licence copy, ID and banking confirmation to 081 562 9254. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Graduate Programme,"Pretoria, South Africa",Graduate Programme 2027 - national mining house. Honours degree in Computer Science or related field with strong academic record. Structured 24-month rotation programme with mentorship and permanent placement on successful completion. Applications via our official graduate portal only. No fees are charged at any stage of the recruitment process. Applications close 30 September.,0,synthetic_sa
Accountant,"Randburg, South Africa","Junior Accountant - Randburg. Established manufacturing group seeks a qualified accountant. Requirements: BCom Accounting, completed SAIPA or SAICA articles preferred, strong Excel and Pastel skills, valid driver's licence. Salary R22,000 - R40,000 CTC with study support. Apply through PNet with your CV and academic transcript. Closing date 11 September. Correspondence will be limited to shortlisted candidates.",0,synthetic_sa
Software Developer,"Cape Town, South Africa","Software Developer - Junior. Our Cape Town-based e-commerce company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 2 years commercial experience; proficiency in Python or TypeScript; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R40,000 - R65,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
Jobs in the UK - visa arranged,"Randburg, South Africa","Workers needed in the UK. Hotel staff, drivers, cleaners and farm workers. Earn up to R35,000 per month tax free. Visa and flight arranged by our agency. Pay R750 processing fee and send your passport copy, ID and bank details to WhatsApp 083 685 7274. Departure is next month, only serious applicants. 100% guaranteed placement, no interviews.",1,synthetic_sa
Work from home opportunity,"Welkom, South Africa","Earn R2,500 per day stuffing envelopes at home. No qualifications needed, work your own hours. Perfect for students, moms and pensioners. Join today by sending R350 joining fee via Absa and WhatsApp your full names, ID number and address to our agent on 077 791 4501. Payment is released every Friday, guaranteed. First 42 applicants only.",1,synthetic_sa
Physical Sciences Teacher,"East London, South Africa","High school Physical Sciences teacher - East London. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 12 September. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Registered Nurse,"Polokwane, South Africa","Registered Nurse - private hospital group, Polokwane. SANC registration and 2 years theatre experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 15 September. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
Industrial Engineer,"Pietermaritzburg, South Africa","Industrial Engineer - consulting firm, Pietermaritzburg. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 3 years experience in building services. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Pietermaritzburg offices.",0,synthetic_sa
Metrorail is hiring - apply now,"Gqeberha, South Africa","Metrorail is hiring warehouse assistants nationwide. Salary R75,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R500 admin fee into our Capitec account and WhatsApp proof of payment with your ID number to 085 600 1319. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Mine workers wanted,"Steelpoort, South Africa","Mine workers needed urgently in Steelpoort. No experience needed, training provided. R35,000 monthly guaranteed plus living allowance. Pay R500 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 073 381 8206. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Metrorail is hiring - apply now,"Durban, South Africa","Metrorail is hiring warehouse assistants nationwide. Salary R75,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R200 admin fee into our FNB eWallet account and WhatsApp proof of payment with your ID number to 087 662 3705. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Registered Nurse,"Mbombela, South Africa","Registered Nurse - private hospital group, Mbombela. SANC registration and 2 years theatre experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 22 September. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
PRASA is hiring - apply now,"Randburg, South Africa","PRASA is hiring packers nationwide. Salary R75,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R150 admin fee into our Absa account and WhatsApp proof of payment with your ID number to 081 151 9856. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Earn while you learn - agents wanted,"Rustenburg, South Africa","Financial agents wanted in Rustenburg. Earn commission of R1,200 per day recruiting new members. Invest R1100 once-off to activate your agent account and start earning immediately. Your money doubles every 29 days, guaranteed. Send your ID number, cellphone number and Standard Bank account details on WhatsApp 080 629 4130 to join our winning team.",1,synthetic_sa
Electrical Engineer,"Kimberley, South Africa","Electrical Engineer - consulting firm, Kimberley. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 7 years experience in building services. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Kimberley offices.",0,synthetic_sa
Diesel Mechanic,"Centurion, South Africa","Diesel Mechanic - Centurion. Trade tested with 3 years post-qualification experience in FMCG production. Overtime and standby allowance apply. Remuneration R28,000 - R55,000 CTC negotiable on experience. Forward your CV, trade certificate and reference letters to the workshop manager via Careers24. Medical fitness assessment forms part of the selection process.",0,synthetic_sa
Sales Representative,"Rustenburg, South Africa","Sales Representative - FMCG, Rustenburg. Matric plus 3 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R18,000 - R25,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Sales Representative,"Bloemfontein, South Africa","Sales Representative - pharmaceutical, Bloemfontein. Matric plus 3 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R18,000 - R25,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Registered Nurse,"Durban, South Africa","Registered Nurse - private hospital group, Durban. SANC registration and 5 years ICU experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 27 September. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
Administrative Assistant,"Polokwane, South Africa","Administrative assistant - Polokwane. Requirements: matric with 2 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on Sage and general office support. Salary R18,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Cashiers and shelf packers,"Randburg, South Africa","A Leading Supermarket Group is hiring cashiers and shelf packers in Randburg. R12,000 per month plus staff discount. No experience needed. Send your ID copy, SARS number and banking details on WhatsApp 079 552 7785. A uniform deposit of R300 is payable before training. Immediate start guaranteed for the first 11 applicants.",1,synthetic_sa
Paid learnership - no matric needed,"Randburg, South Africa","Learnership opportunity in Randburg paying R5500 monthly stipend. No matric required, certificate provided after 3 months. Register now by sending R650 registration to our Nedbank account. WhatsApp your name, ID number and proof of payment to 084 698 7242. Space is limited, secure your seat today. Guaranteed employment after completion.",1,synthetic_sa
Security Guards needed urgently,"Polokwane, South Africa","URGENT HIRING!!! Security Guards needed in Polokwane. Earn R30,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 087 193 1771. Registration fee of R150 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 5 positions left! 100% guaranteed income.",1,synthetic_sa
Administrative Assistant,"Centurion, South Africa","Administrative assistant - Centurion. Requirements: matric with 4 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on QuickBooks and general office support. Salary R18,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Models and promoters wanted,"Cape Town, South Africa","Modelling agency in Cape Town is recruiting new faces. No experience needed, earn up to R2,000 per shoot. Send full-length photos, your ID number and home address on WhatsApp 072 753 9042. A once-off portfolio fee of R300 is required before your first booking is confirmed. International contracts available for successful candidates. Apply before Sunday.",1,synthetic_sa
Security Guards needed urgently,"Vereeniging, South Africa","URGENT HIRING!!! Security Guards needed in Vereeniging. Earn R35,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 067 649 3045. Registration fee of R400 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 4 positions left! 100% guaranteed income.",1,synthetic_sa
Graduate Programme,"Johannesburg, South Africa",Graduate Programme 2027 - national retailer. Honours degree in Computer Science or related field with strong academic record. Structured 12-month rotation programme with mentorship and permanent placement on successful completion. Applications via our official graduate portal only. No fees are charged at any stage of the recruitment process. Applications close 26 September.,0,synthetic_sa
Administrative Assistant,"George, South Africa","Administrative assistant - George. Requirements: matric with 5 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on Sage and general office support. Salary R14,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Administrative Assistant,"Pietermaritzburg, South Africa","Administrative assistant - Pietermaritzburg. Requirements: matric with 3 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on QuickBooks and general office support. Salary R14,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Work from home opportunity,"Rustenburg, South Africa","Earn R2,500 per day assembling pens at home. No qualifications needed, work your own hours. Perfect for students, moms and pensioners. Join today by sending R300 joining fee via TymeBank and WhatsApp your full names, ID number and address to our agent on 063 530 7211. Payment is released every Friday, guaranteed. First 21 applicants only.",1,synthetic_sa
Call Centre Agent,"Johannesburg, South Africa","Call centre agents - Johannesburg CBD. Requirements: matric, clear criminal record, fluent in English and at least one other official language, 1 year contact centre experience advantageous. R7500 basic plus performance incentives and full paid training. Apply via PNet or in person at our recruitment open day. The company covers all training costs; no payment is requested from applicants at any stage.",0,synthetic_sa
Drivers wanted - company vehicles,"Durban, South Africa","Drivers with code 8 or 10 needed in Durban. Salary R25,000 plus overtime, company vehicle to take home. To book your assessment slot pay R350 via TymeBank and WhatsApp your licence copy, ID and banking confirmation to 061 229 5505. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Accounting Teacher,"Randburg, South Africa","High school Accounting teacher - Randburg. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 21 September. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Petrol Attendants needed urgently,"Rustenburg, South Africa","URGENT HIRING!!! Petrol Attendants needed in Rustenburg. Earn R30,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 087 505 8517. Registration fee of R200 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 7 positions left! 100% guaranteed income.",1,synthetic_sa
Mine workers wanted,"Kathu, South Africa","Mine workers needed urgently in Kathu. No experience needed, training provided. R75,000 monthly guaranteed plus living allowance. Pay R750 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 061 390 9445. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Jobs in Canada - visa arranged,"Johannesburg, South Africa","Workers needed in Canada. Hotel staff, drivers, cleaners and farm workers. Earn up to R35,000 per month tax free. Visa and flight arranged by our agency. Pay R2250 processing fee and send your passport copy, ID and bank details to WhatsApp 079 693 9022. Departure is next month, only serious applicants. 100% guaranteed placement, no interviews.",1,synthetic_sa
Software Developer,"Johannesburg, South Africa","Software Developer - Mid Level. Our Johannesburg-based logistics company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 5 years commercial experience; proficiency in TypeScript or Python; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R35,000 - R75,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
Sales Representative,"Gqeberha, South Africa","Sales Representative - office automation, Gqeberha. Matric plus 4 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R18,000 - R25,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Mechanical Engineer,"Polokwane, South Africa","Mechanical Engineer - consulting firm, Polokwane. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 6 years experience in building services. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Polokwane offices.",0,synthetic_sa
Earn while you learn - agents wanted,"Durban, South Africa","Financial agents wanted in Durban. Earn commission of R2,000 per day recruiting new members. Invest R1500 once-off to activate your agent account and start earning immediately. Your money doubles every 27 days, guaranteed. Send your ID number, cellphone number and FNB eWallet account details on WhatsApp 064 970 2983 to join our winning team.",1,synthetic_sa
Mine workers wanted,"Welkom, South Africa","Mine workers needed urgently in Welkom. No experience needed, training provided. R50,000 monthly guaranteed plus living allowance. Pay R500 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 066 706 1444. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Earn while you learn - agents wanted,"Rustenburg, South Africa","Financial agents wanted in Rustenburg. Earn commission of R750 per day recruiting new members. Invest R800 once-off to activate your agent account and start earning immediately. Your money doubles every 22 days, guaranteed. Send your ID number, cellphone number and Capitec account details on WhatsApp 075 750 8532 to join our winning team.",1,synthetic_sa
the Post Office is hiring - apply now,"Soweto, South Africa","the Post Office is hiring warehouse assistants nationwide. Salary R75,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R500 admin fee into our FNB eWallet account and WhatsApp proof of payment with your ID number to 068 182 4044. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Registered Nurse,"Pietermaritzburg, South Africa","Registered Nurse - private hospital group, Pietermaritzburg. SANC registration and 3 years theatre experience required. Competitive salary with medical aid contribution, pension fund and shift allowances. Applications close 14 September. Apply via our official careers portal with your CV, SANC certificate and two contactable references. No fees are charged at any stage of the recruitment process.",0,synthetic_sa
Sales Representative,"Welkom, South Africa","Sales Representative - pharmaceutical, Welkom. Matric plus 4 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R14,000 - R28,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Administrative Assistant,"Kimberley, South Africa","Administrative assistant - Kimberley. Requirements: matric with 3 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on Sage and general office support. Salary R12,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Mine workers wanted,"Emalahleni, South Africa","Mine workers needed urgently in Emalahleni. No experience needed, training provided. R45,000 monthly guaranteed plus living allowance. Pay R450 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 065 405 7389. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Eskom is hiring - apply now,"Durban, South Africa","Eskom is hiring general workers nationwide. Salary R75,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R350 admin fee into our Capitec account and WhatsApp proof of payment with your ID number to 083 385 8953. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Administrative Assistant,"Polokwane, South Africa","Administrative assistant - Polokwane. Requirements: matric with 3 years office administration experience, advanced MS Office skills, own reliable transport. Duties include diary management, invoicing on Pastel and general office support. Salary R14,000 per month plus provident fund after probation. Submit your CV and contactable references through JobMail. Interviews by appointment at our offices.",0,synthetic_sa
Millwright,"Sandton, South Africa","Millwright - Sandton. Trade tested with 3 years post-qualification experience in heavy commercial vehicles. Overtime and standby allowance apply. Remuneration R28,000 - R48,000 CTC negotiable on experience. Forward your CV, trade certificate and reference letters to the workshop manager via Careers24. Medical fitness assessment forms part of the selection process.",0,synthetic_sa
Earn while you learn - agents wanted,"Welkom, South Africa","Financial agents wanted in Welkom. Earn commission of R750 per day recruiting new members. Invest R700 once-off to activate your agent account and start earning immediately. Your money doubles every 24 days, guaranteed. Send your ID number, cellphone number and Absa account details on WhatsApp 085 170 9289 to join our winning team.",1,synthetic_sa
Industrial Engineer,"Cape Town, South Africa","Industrial Engineer - consulting firm, Cape Town. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 5 years experience in roads and stormwater. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Cape Town offices.",0,synthetic_sa
English Teacher,"Bloemfontein, South Africa","High school English teacher - Bloemfontein. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 25 August. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Accountant,"Randburg, South Africa","Cost Accountant - Randburg. Established audit firm seeks a qualified accountant. Requirements: BCom Accounting, completed SAIPA or SAICA articles preferred, strong Excel and SAP skills, valid driver's licence. Salary R22,000 - R40,000 CTC with study support. Apply through PNet with your CV and academic transcript. Closing date 24 September. Correspondence will be limited to shortlisted candidates.",0,synthetic_sa
Physical Sciences Teacher,"Mbombela, South Africa","High school Physical Sciences teacher - Mbombela. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 25 September. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Civil Engineer,"Kimberley, South Africa","Civil Engineer - consulting firm, Kimberley. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 6 years experience in power distribution. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Kimberley offices.",0,synthetic_sa
Cashiers and shelf packers,"Welkom, South Africa","A Major Retail Chain is hiring cashiers and shelf packers in Welkom. R12,000 per month plus staff discount. No experience needed. Send your ID copy, SARS number and banking details on WhatsApp 062 858 1502. A uniform deposit of R150 is payable before training. Immediate start guaranteed for the first 11 applicants.",1,synthetic_sa
Afrikaans Teacher,"Gqeberha, South Africa","High school Afrikaans teacher - Gqeberha. B.Ed or PGCE with SACE registration required, FET phase experience preferred. Salary per school governing body scale plus benefits. Send your CV, SACE certificate, academic record and two references to the principal via the school website. Closing date 25 August. Interviews will be held at the school premises. Late applications will not be considered.",0,synthetic_sa
Mechanical Engineer,"George, South Africa","Mechanical Engineer - consulting firm, George. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 4 years experience in roads and stormwater. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our George offices.",0,synthetic_sa
Paid learnership - no matric needed,"Welkom, South Africa","Learnership opportunity in Welkom paying R5500 monthly stipend. No matric required, certificate provided after 3 months. Register now by sending R650 registration to our Absa account. WhatsApp your name, ID number and proof of payment to 084 567 5949. Space is limited, secure your seat today. Guaranteed employment after completion.",1,synthetic_sa
Paid learnership - no matric needed,"Midrand, South Africa","Learnership opportunity in Midrand paying R3500 monthly stipend. No matric required, certificate provided after 3 months. Register now by sending R650 registration to our Nedbank account. WhatsApp your name, ID number and proof of payment to 067 270 5906. Space is limited, secure your seat today. Guaranteed employment after completion.",1,synthetic_sa
Jobs in Saudi Arabia - visa arranged,"Bloemfontein, South Africa","Workers needed in Saudi Arabia. Hotel staff, drivers, cleaners and farm workers. Earn up to R75,000 per month tax free. Visa and flight arranged by our agency. Pay R450 processing fee and send your passport copy, ID and bank details to WhatsApp 076 448 9318. Departure is next month, only serious applicants. 100% guaranteed placement, no interviews.",1,synthetic_sa
Jobs in the UK - visa arranged,"Kimberley, South Africa","Workers needed in the UK. Hotel staff, drivers, cleaners and farm workers. Earn up to R50,000 per month tax free. Visa and flight arranged by our agency. Pay R2250 processing fee and send your passport copy, ID and bank details to WhatsApp 076 954 8905. Departure is next month, only serious applicants. 100% guaranteed placement, no interviews.",1,synthetic_sa
Work from home opportunity,"Rustenburg, South Africa","Earn R1,200 per day stuffing envelopes at home. No qualifications needed, work your own hours. Perfect for students, moms and pensioners. Join today by sending R650 joining fee via Capitec and WhatsApp your full names, ID number and address to our agent on 084 619 6067. Payment is released every Friday, guaranteed. First 36 applicants only.",1,synthetic_sa
Mine workers wanted,"Steelpoort, South Africa","Mine workers needed urgently in Steelpoort. No experience needed, training provided. R50,000 monthly guaranteed plus living allowance. Pay R450 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 068 355 2988. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Transnet is hiring - apply now,"Welkom, South Africa","Transnet is hiring warehouse assistants nationwide. Salary R30,000 monthly with benefits. No interviews needed, placement is guaranteed. To process your application pay R550 admin fee into our FNB eWallet account and WhatsApp proof of payment with your ID number to 061 824 1964. Applications close this Friday. Forward this message to friends and family.",1,synthetic_sa
Sales Representative,"Polokwane, South Africa","Sales Representative - industrial supplies, Polokwane. Matric plus 4 years external sales experience. Company vehicle, fuel card, cellphone allowance, basic salary of R16,000 - R22,000 plus uncapped commission. Email a detailed CV to the recruitment team via our website. Only shortlisted candidates will be contacted within 14 days. We are an equal opportunity employer.",0,synthetic_sa
Drivers wanted - company vehicles,"Sandton, South Africa","Drivers with code 8 or 10 needed in Sandton. Salary R75,000 plus overtime, company vehicle to take home. To book your assessment slot pay R250 via TymeBank and WhatsApp your licence copy, ID and banking confirmation to 070 278 5347. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Fitter and Turner,"Randburg, South Africa","Fitter and Turner - Randburg. Trade tested with 4 years post-qualification experience in FMCG production. Overtime and standby allowance apply. Remuneration R25,000 - R42,000 CTC negotiable on experience. Forward your CV, trade certificate and reference letters to the workshop manager via Careers24. Medical fitness assessment forms part of the selection process.",0,synthetic_sa
Earn while you learn - agents wanted,"Polokwane, South Africa","Financial agents wanted in Polokwane. Earn commission of R900 per day recruiting new members. Invest R900 once-off to activate your agent account and start earning immediately. Your money doubles every 28 days, guaranteed. Send your ID number, cellphone number and Capitec account details on WhatsApp 083 576 5198 to join our winning team.",1,synthetic_sa
Cashiers and shelf packers,"Pretoria, South Africa","A National Clothing Store is hiring cashiers and shelf packers in Pretoria. R10,000 per month plus staff discount. No experience needed. Send your ID copy, SARS number and banking details on WhatsApp 071 390 8972. A uniform deposit of R500 is payable before training. Immediate start guaranteed for the first 14 applicants.",1,synthetic_sa
Software Developer,"Centurion, South Africa","Software Developer - Mid Level. Our Centurion-based logistics company seeks a developer to join the product team. Requirements: BSc Computer Science, BCom Informatics or equivalent; 5 years commercial experience; proficiency in Kotlin or Python; experience with REST APIs, SQL and cloud platforms (AWS or Azure). Salary R35,000 - R75,000 per month CTC depending on experience. Benefits include medical aid contribution, provident fund and 20 days annual leave. Submit your CV and portfolio via our careers portal. We do not charge any application fees. Only shortlisted candidates will be contacted.",0,synthetic_sa
General Workers needed urgently,"Polokwane, South Africa","URGENT HIRING!!! General Workers needed in Polokwane. Earn R75,000 per month. No experience or matric required. IMMEDIATE START. Send your CV, certified ID copy and banking details to secure your position. WhatsApp us NOW on 065 510 5386. Registration fee of R150 required to access training materials and uniform. LIMITED SLOTS AVAILABLE - only 6 positions left! 100% guaranteed income.",1,synthetic_sa
Paid learnership - no matric needed,"Kimberley, South Africa","Learnership opportunity in Kimberley paying R5500 monthly stipend. No matric required, certificate provided after 3 months. Register now by sending R150 registration to our Absa account. WhatsApp your name, ID number and proof of payment to 062 872 4696. Space is limited, secure your seat today. Guaranteed employment after completion.",1,synthetic_sa
Drivers wanted - company vehicles,"Randburg, South Africa","Drivers with code 8 or 10 needed in Randburg. Salary R30,000 plus overtime, company vehicle to take home. To book your assessment slot pay R350 via Capitec and WhatsApp your licence copy, ID and banking confirmation to 085 657 6876. Successful drivers start Monday. Hurry, positions are filling fast!!!",1,synthetic_sa
Call Centre Agent,"Johannesburg, South Africa","Call centre agents - Johannesburg CBD. Requirements: matric, clear criminal record, fluent in English and at least one other official language, 6 months contact centre experience advantageous. R7500 basic plus performance incentives and full paid training. Apply via PNet or in person at our recruitment open day. The company covers all training costs; no payment is requested from applicants at any stage.",0,synthetic_sa
Earn while you learn - agents wanted,"Bloemfontein, South Africa","Financial agents wanted in Bloemfontein. Earn commission of R1,500 per day recruiting new members. Invest R400 once-off to activate your agent account and start earning immediately. Your money doubles every 30 days, guaranteed. Send your ID number, cellphone number and TymeBank account details on WhatsApp 084 730 9817 to join our winning team.",1,synthetic_sa
Cashiers and shelf packers,"Mbombela, South Africa","A Major Retail Chain is hiring cashiers and shelf packers in Mbombela. R10,000 per month plus staff discount. No experience needed. Send your ID copy, SARS number and banking details on WhatsApp 071 107 9149. A uniform deposit of R750 is payable before training. Immediate start guaranteed for the first 18 applicants.",1,synthetic_sa
Mine workers wanted,"Welkom, South Africa","Mine workers needed urgently in Welkom. No experience needed, training provided. R45,000 monthly guaranteed plus living allowance. Pay R550 for your medical screening booking and send certified ID, bank statement and proof of payment via WhatsApp 067 524 4185. Transport and accommodation arranged once payment reflects. Immediate start.",1,synthetic_sa
Industrial Engineer,"Randburg, South Africa","Industrial Engineer - consulting firm, Randburg. BSc Eng or BEng with ECSA registration as candidate or professional engineer. 6 years experience in roads and stormwater. Remuneration commensurate with qualifications and experience. Apply with your CV, ECSA registration details and a portfolio of completed projects via our website. Shortlisted candidates will complete a technical interview at our Randburg offices.",0,synthetic_sa
